iter	RMSE
0	15789587.3
1	15406801.17
2	15019013.31
3	14674773.77
4	14299756.19
5	14014274.03
6	13703440.23
7	13407292.27
8	13139884.7
9	12886151.41
10	12632398.66
11	12425207.86
12	12195699.06
13	11995494.12
14	11782869.9
15	11568537.14
16	11392044.42
17	11222113.49
18	11051844.33
19	10901742.28
20	10755017.29
21	10619872.57
22	10473408.1
23	10338958.06
24	10221166.42
25	10111139.46
26	10002919.56
27	9904781.286
28	9819160.612
29	9718650.101
30	9618185.067
31	9537869.233
32	9445083.08
33	9367014.489
34	9285310.033
35	9223021.293
36	9156248.992
37	9086222.268
38	9020328.962
39	8976843.277
40	8924654.272
41	8868739.524
42	8825743.725
43	8760898.656
44	8703847.635
45	8658208.24
46	8618897.706
47	8589187.655
48	8568639.138
49	8509072.77
50	8490453.814
51	8452704.009
52	8436893.421
53	8411618.264
54	8391253.69
55	8356357.069
56	8321848.008
57	8303941.326
58	8267263.327
59	8216029.604
60	8174430.415
61	8146799.395
62	8119875.412
63	8085522.742
64	8062806.842
65	8029606.14
66	8010554.661
67	7976269.033
68	7954774.852
69	7929341.171
70	7913662.455
71	7884392.804
72	7860600.308
73	7835639.621
74	7813345.483
75	7786162.074
76	7778463.003
77	7762524.967
78	7728068.734
79	7709433.46
80	7687929.117
81	7677064.604
82	7650608.354
83	7644230.511
84	7633781.551
85	7620056.619
86	7585974.11
87	7570108.769
88	7564349.963
89	7543671.098
90	7538260.402
91	7526103.599
92	7517522.328
93	7510677.38
94	7492589.354
95	7482692.044
96	7454332.049
97	7443957.709
98	7430250.592
99	7422921.076
100	7415356.524
101	7410464.29
102	7390214.35
103	7382571.13
104	7365847.969
105	7359752.514
106	7351999.944
107	7343930.579
108	7325089.974
109	7314778.999
110	7308833.211
111	7305726.839
112	7297381.736
113	7290250.457
114	7273200.864
115	7260037.321
116	7235882.868
117	7231725.277
118	7217527.191
119	7197288.344
120	7192528.632
121	7176636.546
122	7172481.796
123	7155579.458
124	7142908.689
125	7138391.764
126	7129492.091
127	7125693.38
128	7118559.172
129	7109808.11
130	7089223.357
131	7082844.262
132	7065501.099
133	7060818.86
134	7047530.936
135	7041267.427
136	7019948.89
137	7015675.426
138	7007850.765
139	6989664.322
140	6985867.787
141	6979461.653
142	6951700.124
143	6941049.131
144	6936578.146
145	6914234.833
146	6891688.541
147	6871454.788
148	6850042.908
149	6846923.688
150	6841916.351
151	6836939.139
152	6833006.085
153	6828761.269
154	6823254.434
155	6814727.854
156	6809997.316
157	6806219.639
158	6802132.812
159	6789497.744
160	6785397.656
161	6780728.56
162	6776587.957
163	6772700.291
164	6769368.949
165	6764266.892
166	6757402.338
167	6751744.69
168	6748237.687
169	6730730.038
170	6727680.734
171	6720668.218
172	6716246.003
173	6708646.002
174	6691351.098
175	6676773.469
176	6670922.663
177	6649600.843
178	6643350.7
179	6639969.649
180	6632860.248
181	6629194.716
182	6625171.425
183	6609374.024
184	6605636.789
185	6591688.942
186	6575425.877
187	6572141.085
188	6568551.302
189	6562049.319
190	6544179.587
191	6539284.795
192	6536329.248
193	6533293.518
194	6527931.812
195	6521862.998
196	6516793.288
197	6511262.868
198	6491830.206
199	6488879.859
200	6485936.614
201	6470620.683
202	6455005.363
203	6452212.686
204	6431964.9
205	6429172.384
206	6423829.822
207	6406667.906
208	6386389.931
209	6383664.157
210	6364176.105
211	6358416.667
212	6339229.48
213	6335812.796
214	6332846.778
215	6327868.177
216	6322846.779
217	6320046.416
218	6316863.298
219	6312309.142
220	6309413.019
221	6306772.016
222	6304212.124
223	6300964.354
224	6298503.552
225	6283039.287
226	6267156.921
227	6249035.684
228	6238648.315
229	6219683.368
230	6202773.509
231	6189516.429
232	6184575.877
233	6182150.28
234	6168023.242
235	6155589.131
236	6137528.743
237	6133055.746
238	6130792.023
239	6109581.028
240	6107310.469
241	6103024.748
242	6089397.249
243	6087183.296
244	6083063.741
245	6067300.363
246	6052291.794
247	6048169.483
248	6031596.97
249	6017794.358
250	5997839.92
251	5981673.612
252	5966060.946
253	5963885.109
254	5961758.918
255	5949571.676
256	5945982.744
257	5935273.172
258	5923095.274
259	5904667.332
260	5902646.337
261	5900585.484
262	5891988.225
263	5877881.544
264	5875239.033
265	5871988.012
266	5869961.546
267	5866686.509
268	5864694.855
269	5861165.399
270	5857765.76
271	5843882.489
272	5840011.961
273	5836944.129
274	5832437.211
275	5821584.421
276	5817703.999
277	5814771.715
278	5812795.648
279	5800300.677
280	5798357.617
281	5784438.806
282	5772976.067
283	5771067.271
284	5760024.394
285	5758151.572
286	5747484.561
287	5745650.638
288	5735687.446
289	5724925.955
290	5721748.982
291	5719942.057
292	5709204.474
293	5695560.474
294	5686199.12
295	5683305.74
296	5681525.331
297	5667395.295
298	5660942.538
299	5657373.104
300	5654580.669
301	5652811.214
302	5651082.811
303	5647610.56
304	5645911.041
305	5636573.96
306	5626666.223
307	5624957.422
308	5609060.319
309	5596026.828
310	5583837.029
311	5582139.235
312	5577927.536
313	5575227.747
314	5564052.809
315	5555390.946
316	5552019.291
317	5550351.922
318	5538192.089
319	5536465.274
320	5528713.97
321	5527069.268
322	5517085.513
323	5514438.89
324	5512888.751
325	5510282.355
326	5507872.463
327	5502770.911
328	5501138.23
329	5499511.974
330	5496461.82
331	5487081.747
332	5485484.995
333	5474860.418
334	5460358.7
335	5458763.101
336	5449581.645
337	5440123.139
338	5429614.076
339	5418954.279
340	5417387.299
341	5415845.217
342	5403890.547
343	5397572.818
344	5394821.382
345	5384969.763
346	5382836.104
347	5381304.308
348	5379798.457
349	5378314.626
350	5370693.323
351	5358723.369
352	5349897.449
353	5347625.621
354	5346151.56
355	5344136.669
356	5342688.993
357	5331548.826
358	5316555.539
359	5311737.918
360	5299764.321
361	5298327.318
362	5295774.275
363	5294368.832
364	5284265.764
365	5282591.652
366	5279855.451
367	5277753.215
368	5275600.026
369	5266563.616
370	5264390.443
371	5262368.359
372	5260610.59
373	5251650.678
374	5249964.209
375	5241819.835
376	5240423.421
377	5238425.68
378	5227622.124
379	5222962.282
380	5221582.211
381	5216233.729
382	5214875.178
383	5213531.339
384	5212204.994
385	5205340.355
386	5198826.114
387	5190422.984
388	5181080.891
389	5179381.292
390	5177347.749
391	5175442.188
392	5167320.526
393	5165207.541
394	5163903.743
395	5161819.948
396	5159831.53
397	5150616.368
398	5148464.883
399	5147157.658
400	5142909.501
401	5140862.003
402	5139567.123
403	5137403.374
404	5126414.734
405	5125139.028
406	5116358.043
407	5110830.46
408	5109557.614
409	5107763.932
410	5105635.018
411	5104378.572
412	5093834.037
413	5091423.145
414	5090007.54
415	5088762.441
416	5087525.333
417	5079653.759
418	5078428.921
419	5071282.096
420	5064903.175
421	5063148.607
422	5052636.495
423	5047151.856
424	5036642.086
425	5035422.527
426	5034226.356
427	5028356.919
428	5026542.362
429	5025357.923
430	5024194.602
431	5023048.198
432	5016881.612
433	5014975.396
434	5008372.668
435	5007205.572
436	5004941.676
437	5003788.56
438	5002109.009
439	5000507.709
440	4992897.42
441	4984066.245
442	4982921.525
443	4980792.059
444	4979664.586
445	4972166.289
446	4971048.324
447	4968889.723
448	4967190.613
449	4959793.957
450	4958465.894
451	4956817.112
452	4955170.171
453	4951361.415
454	4941893.171
455	4940783.17
456	4933038.87
457	4926606.86
458	4919581.795
459	4917364.743
460	4910741.515
461	4909090.6
462	4907676.952
463	4906574.117
464	4899187.466
465	4898098.065
466	4897017.119
467	4894642.064
468	4887934.432
469	4886859.598
470	4884780.909
471	4878577.739
472	4877512.176
473	4876484.69
474	4874629.791
475	4873572.119
476	4865895.947
477	4864821.642
478	4863775.814
479	4862273.429
480	4861237.421
481	4855664.986
482	4852209.432
483	4850202.604
484	4849171.981
485	4848159.855
486	4841819.279
487	4840558.285
488	4839544.775
489	4838184.302
490	4830853.838
491	4829794.208
492	4822531.798
493	4821525.75
494	4820009.044
495	4819027.329
496	4817933.555
497	4810157.666
498	4809165.338
499	4808041.817
500	4801610.897
501	4795255.512
502	4793636.832
503	4789326.543
504	4780843.537
505	4779862.163
506	4772878.091
507	4771244.484
508	4762847.938
509	4761878.498
510	4760401.243
511	4752531.964
512	4751574.174
513	4749767.442
514	4748849.529
515	4747902.869
516	4742002.156
517	4732726.22
518	4731793.541
519	4730021.731
520	4728792.942
521	4721940.968
522	4720480.253
523	4711966.458
524	4710925.097
525	4710009.005
526	4708412.862
527	4706580.9
528	4705645.885
529	4704746.244
530	4698265.716
531	4696803.878
532	4695788.43
533	4694613.637
534	4693715.765
535	4691865.019
536	4686333.937
537	4685415.015
538	4683720.719
539	4682835.469
540	4675170.653
541	4674133.663
542	4673227.395
543	4664014.649
544	4659650.51
545	4654683.477
546	4653786.361
547	4646920.925
548	4640975.484
549	4633697.602
550	4626955.554
551	4621618.849
552	4619981.017
553	4618231.226
554	4611871.223
555	4610980.104
556	4609622.364
557	4608290.963
558	4606984.853
559	4601993.503
560	4600358.73
561	4599500.681
562	4592669.606
563	4586151.847
564	4580819.849
565	4579711.163
566	4578417.838
567	4575036.998
568	4574157.901
569	4572852.334
570	4572009.296
571	4571171.059
572	4565664.952
573	4564809.341
574	4558010.232
575	4556335.708
576	4554798.831
577	4547984.293
578	4547131.087
579	4546282.167
580	4544949.543
581	4544129.415
582	4542813.669
583	4541967.445
584	4535264.059
585	4528738.883
586	4527898.19
587	4527094.962
588	4525780.802
589	4524956.478
590	4524121.195
591	4515475.815
592	4511896.604
593	4510675.591
594	4501860.739
595	4496867.987
596	4495592.462
597	4494760.541
598	4488717.387
599	4482942.799
600	4477174.126
601	4475907.509
602	4475114.586
603	4473888.315
604	4472668.174
605	4471861.378
606	4470382.339
607	4469569.631
608	4463710.633
609	4462954.553
610	4461771.524
611	4460960.74
612	4460197.803
613	4459437.596
614	4458653.641
615	4457880.713
616	4457154.189
617	4456396.517
618	4455645.602
619	4454900.532
620	4449644.557
621	4443886.585
622	4442431.824
623	4441731.656
624	4438029.326
625	4431386.842
626	4424487.643
627	4422055.703
628	4420896.509
629	4415600.404
630	4414757.684
631	4413274.837
632	4412270.543
633	4411502.844
634	4405915.778
635	4404454.723
636	4403694.498
637	4398114.997
638	4391904.238
639	4391218.893
640	4385772.985
641	4384608.094
642	4383853.529
643	4383145.099
644	4376283.352
645	4375223.662
646	4373711.527
647	4372945.48
648	4372198.356
649	4371112.482
650	4370005.365
651	4369034.433
652	4368050.174
653	4367165.01
654	4366347.377
655	4365203.493
656	4364462.911
657	4363406.12
658	4358410.805
659	4351052.684
660	4350186.294
661	4348895.473
662	4347808.803
663	4346974.167
664	4340471.126
665	4339741.621
666	4337412.26
667	4336694.505
668	4335961.825
669	4335247.841
670	4329506.808
671	4328677.563
672	4323215.372
673	4318047.952
674	4311851.324
675	4306960.407
676	4306194.687
677	4304808.229
678	4298699.77
679	4297971.075
680	4294324.554
681	4292575.934
682	4291921.992
683	4291200.1
684	4290486.061
685	4285654.845
686	4284729.342
687	4284020.903
688	4283349.735
689	4282622.432
690	4278454.286
691	4277334.914
692	4271440.043
693	4266594.883
694	4265461.396
695	4260956.524
696	4260250.715
697	4256140.367
698	4255113.054
699	4254020.16
700	4247934.032
701	4246606.045
702	4239998.243
703	4235616.271
704	4232899.506
705	4231568.622
706	4230867.162
707	4230160.356
708	4229462.124
709	4228405.499
710	4227713.068
711	4227028.191
712	4226346.953
713	4225669.322
714	4221849.249
715	4221177.115
716	4215964.53
717	4211438.284
718	4205907.132
719	4205241.278
720	4204567.87
721	4201505.391
722	4200866.456
723	4200091.852
724	4193268.63
725	4188752.641
726	4187441.226
727	4182589.131
728	4181497.974
729	4175666.089
730	4175009.376
731	4174368.921
732	4173710.798
733	4170402.752
734	4169748.923
735	4168123.825
736	4163981.895
737	4157196.923
738	4156563.19
739	4149529.413
740	4148480.527
741	4147545.614
742	4140979.845
743	4140335.343
744	4134877.338
745	4133642.207
746	4132660.794
747	4131344.663
748	4130704.831
749	4129489.078
750	4123397.722
751	4122339.112
752	4121703.913
753	4117712.115
754	4111006.438
755	4110077.556
756	4105551.369
757	4101774.309
758	4098039.486
759	4097397.361
760	4096362.638
761	4095680.064
762	4095064.944
763	4090689.791
764	4083593.375
765	4081860.191
766	4077005.74
767	4076239.758
768	4075609.367
769	4070361.627
770	4069622.82
771	4068799.731
772	4067841.365
773	4059865.713
774	4052380.048
775	4051718.738
776	4051089.547
777	4050188.138
778	4049356.561
779	4048189.725
780	4047589.494
781	4046647.401
782	4045460.081
783	4043137.363
784	4042522.784
785	4037521.829
786	4036911.483
787	4033109.852
788	4028949.792
789	4028362.321
790	4024797.806
791	4023854.661
792	4022827.42
793	4017797.899
794	4011505.485
795	4010897.726
796	4004296.072
797	4000077.3
798	3999458.265
799	3998310.19
800	3997162.739
801	3992006.648
802	3991422.492
803	3988122.782
804	3987249.277
805	3981272.964
806	3980316.415
807	3977304.251
808	3976635.181
809	3975742.48
810	3974883.972
811	3974287.156
812	3973717.44
813	3973122.576
814	3972555.786
815	3971459.231
816	3970653.397
817	3969775.079
818	3969190.922
819	3968620.907
820	3964761.878
821	3964044.058
822	3960249.052
823	3955969.152
824	3955438.657
825	3954860.005
826	3950869.889
827	3950019.348
828	3948910.152
829	3947170.04
830	3946618.003
831	3940661.573
832	3940057.812
833	3939487.378
834	3938955.299
835	3934513.897
836	3933706.795
837	3933140.136
838	3932547.17
839	3931872.119
840	3926972.516
841	3926274.221
842	3925718.096
843	3925175.248
844	3921273.481
845	3920469.887
846	3919382.326
847	3914944.373
848	3914381.3
849	3913836.158
850	3909947.44
851	3908898.361
852	3908046.834
853	3907514.803
854	3903549.309
855	3898986.505
856	3898458.299
857	3897442.918
858	3896920.315
859	3896371.601
860	3895849.743
861	3895345.775
862	3891736.939
863	3890940.75
864	3890398.003
865	3889246.948
866	3888720.314
867	3884035.872
868	3883308.526
869	3882814.239
870	3879090.581
871	3873476.945
872	3872995.595
873	3869435.564
874	3868896.383
875	3868128.268
876	3867098.184
877	3866521.91
878	3865694.797
879	3861413.122
880	3856569.918
881	3856030.246
882	3852852.435
883	3848257.032
884	3843783.365
885	3843263.017
886	3842742.295
887	3837073.611
888	3836555.037
889	3832514.566
890	3829504.674
891	3828596.18
892	3827770.29
893	3827261.303
894	3823935.243
895	3823449.043
896	3822802.542
897	3822027.555
898	3819860.306
899	3818832.771
900	3818358.692
901	3814070.274
902	3811368.355
903	3810860.572
904	3809901.399
905	3807622.406
906	3806827.585
907	3806308.349
908	3805817.625
909	3805059.258
910	3800730.331
911	3800233.735
912	3799720.02
913	3795424.421
914	3794931.918
915	3794031.878
916	3793544.214
917	3792510.034
918	3786201.32
919	3783207.267
920	3780602.847
921	3779818.47
922	3777109.325
923	3772442.979
924	3771930.833
925	3771106.254
926	3770625.405
927	3769243.265
928	3768442.378
929	3764895.733
930	3764049.026
931	3763369.791
932	3762886.447
933	3762383.346
934	3759444.74
935	3758941.672
936	3758471.218
937	3758025.474
938	3757028.185
939	3756339.435
940	3755651.792
941	3754897.289
942	3753307.607
943	3752374.331
944	3751879.616
945	3751189.04
946	3750695.44
947	3749753.196
948	3749173.331
949	3746406.024
950	3744606.877
951	3744114.486
952	3743622.09
953	3743008.121
954	3741759.38
955	3736944.157
956	3732298.207
957	3729155.918
958	3728687.659
959	3728171.065
960	3727683.806
961	3727166.486
962	3724119.093
963	3719497.644
964	3719022.832
965	3718531.345
966	3717790.552
967	3717305.356
968	3716576.3
969	3716119.223
970	3712085.254
971	3711365.063
972	3706616.165
973	3706130.706
974	3705650.79
975	3700059.804
976	3699179.01
977	3698410.524
978	3695060.429
979	3694326.636
980	3693634.065
981	3691887.685
982	3691435.718
983	3688827.844
984	3688351.008
985	3685471.904
986	3685023.234
987	3684380.336
988	3683838.707
989	3679134.051
990	3678659.568
991	3677746.33
992	3673928.56
993	3673214.863
994	3672296.368
995	3671822.065
996	3667105.327
997	3661815.681
998	3657766.947
999	3657294.233
