iter	Passed	Remaining
0	328	327930
1	413	206354
2	508	168991
3	604	150422
4	724	144187
5	831	137820
6	932	132277
7	1057	131091
8	1172	129108
9	1277	126518
10	1385	124543
11	1473	121336
12	1561	118532
13	1650	116221
14	1736	114043
15	1823	112146
16	2026	117167
17	2137	116600
18	2236	115488
19	2442	119695
20	2678	124868
21	2931	130329
22	3073	130564
23	3240	131779
24	3413	133127
25	3630	136011
26	3779	136189
27	3883	134815
28	4007	134175
29	4156	134389
30	4258	133124
31	4354	131733
32	4446	130296
33	4531	128758
34	4617	127303
35	4704	125971
36	4787	124610
37	4874	123401
38	4961	122264
39	5077	121856
40	5168	120899
41	5246	119675
42	5329	118619
43	5415	117658
44	5498	116685
45	5576	115643
46	5661	114793
47	5752	114093
48	6007	116598
49	6152	116898
50	6309	117407
51	6486	118246
52	6625	118385
53	6756	118367
54	6867	117997
55	6968	117465
56	7059	116787
57	7146	116073
58	7234	115386
59	7319	114665
60	7403	113965
61	7484	113237
62	7570	112602
63	7650	111887
64	7737	111306
65	7820	110669
66	7903	110063
67	7992	109539
68	8079	109010
69	8158	108392
70	8236	107764
71	8320	107243
72	8404	106722
73	8496	106320
74	8579	105816
75	8656	105249
76	8745	104827
77	8829	104365
78	8908	103852
79	8991	103404
80	9083	103060
81	9168	102640
82	9255	102258
83	9357	102043
84	9443	101654
85	9529	101276
86	9660	101379
87	9772	101276
88	9866	100993
89	9960	100708
90	10057	100463
91	10159	100272
92	10264	100103
93	10355	99808
94	10443	99485
95	10525	99112
96	10611	98788
97	10703	98519
98	10787	98174
99	10866	97796
100	10945	97429
101	11026	97073
102	11107	96731
103	11187	96387
104	11270	96070
105	11348	95712
106	11432	95412
107	11510	95069
108	11600	94823
109	11690	94589
110	11778	94333
111	11863	94063
112	11951	93814
113	12042	93596
114	12126	93318
115	12207	93027
116	12289	92745
117	12366	92433
118	12446	92148
119	12526	91860
120	12612	91625
121	12695	91363
122	12771	91060
123	12848	90770
124	12930	90515
125	13010	90245
126	13093	90007
127	13171	89732
128	13246	89442
129	13323	89163
130	13399	88889
131	13486	88686
132	13565	88429
133	13647	88199
134	13725	87943
135	13799	87668
136	13881	87445
137	13968	87251
138	14062	87104
139	14151	86928
140	14236	86732
141	14324	86552
142	14414	86387
143	14512	86267
144	14604	86113
145	14708	86036
146	14797	85867
147	14878	85653
148	14963	85463
149	15043	85248
150	15121	85021
151	15199	84798
152	15281	84595
153	15358	84374
154	15435	84150
155	15512	83927
156	15627	83909
157	15748	83923
158	15864	83909
159	15973	83863
160	16079	83792
161	16164	83616
162	16248	83437
163	16328	83236
164	16409	83042
165	16489	82847
166	16574	82675
167	16677	82594
168	16765	82439
169	16851	82277
170	16943	82139
171	17023	81950
172	17112	81805
173	17209	81696
174	17302	81570
175	17383	81384
176	17461	81189
177	17543	81014
178	17620	80817
179	17705	80660
180	17786	80480
181	17865	80296
182	17944	80114
183	18022	79927
184	18099	79735
185	18174	79540
186	18252	79355
187	18330	79173
188	18479	79293
189	18556	79107
190	18631	78917
191	18712	78749
192	18789	78566
193	18867	78387
194	18944	78207
195	19023	78034
196	19096	77838
197	19170	77650
198	19252	77493
199	19345	77381
200	19425	77219
201	19506	77060
202	19588	76905
203	19669	76750
204	19759	76628
205	19846	76493
206	19927	76339
207	20002	76164
208	20084	76011
209	20157	75830
210	20245	75706
211	20319	75526
212	20398	75367
213	20470	75187
214	20550	75032
215	20627	74871
216	20707	74717
217	20817	74673
218	20931	74645
219	21042	74606
220	21151	74556
221	21251	74476
222	21362	74432
223	21453	74320
224	21538	74188
225	21621	74048
226	21706	73917
227	21785	73763
228	21864	73614
229	21960	73518
230	22049	73401
231	22137	73283
232	22225	73161
233	22319	73061
234	22403	72931
235	22490	72808
236	22576	72681
237	22664	72564
238	22760	72472
